epoch,time,train_loss,train_box,train_cls,train_rpn,val_loss,val_box,val_cls,val_rpn,map50,map50_95,recall,lr
0,160.36,0.28530,0.12500,0.12684,0.03346,0.20274,0.09934,0.09221,0.01119,0.85800,0.50996,0.62897,0.005000
1,161.50,0.14822,0.06906,0.06630,0.01287,0.14206,0.07388,0.05991,0.00826,0.94564,0.75177,0.80082,0.005000
2,159.64,0.11895,0.05725,0.05180,0.00989,0.10310,0.05496,0.04148,0.00666,0.96676,0.81033,0.85067,0.005000
3,158.37,0.09922,0.04213,0.04155,0.01553,0.09245,0.04587,0.03890,0.00769,0.96620,0.83911,0.87516,0.005000
4,162.35,0.08179,0.03931,0.03408,0.00839,0.08358,0.04084,0.03654,0.00620,0.96951,0.85300,0.88893,0.005000
5,159.04,0.07771,0.03753,0.03234,0.00784,0.07534,0.03937,0.02994,0.00604,0.97459,0.85198,0.87929,0.005000
6,158.32,0.08541,0.03884,0.03555,0.01103,0.06819,0.03490,0.02768,0.00561,0.97482,0.88166,0.90912,0.005000
7,161.08,0.06946,0.03392,0.02875,0.00679,0.06716,0.03436,0.02665,0.00615,0.97633,0.88302,0.90672,0.005000
8,159.21,0.07117,0.03485,0.02883,0.00748,0.06186,0.02994,0.02643,0.00548,0.97624,0.89375,0.91755,0.005000
9,160.61,0.06653,0.03397,0.02752,0.00504,0.06447,0.03030,0.02704,0.00714,0.97482,0.89262,0.91731,0.005000
10,161.01,0.07050,0.03576,0.02719,0.00755,0.06240,0.03149,0.02478,0.00612,0.97561,0.89208,0.91297,0.005000
11,160.09,0.05543,0.02914,0.02217,0.00412,0.06521,0.03230,0.02548,0.00744,0.97635,0.87884,0.90298,0.005000
12,159.74,0.05580,0.02980,0.02154,0.00447,0.06057,0.03045,0.02405,0.00607,0.97730,0.88839,0.91491,0.005000
13,157.72,0.05141,0.02563,0.02007,0.00571,0.05137,0.02339,0.02190,0.00607,0.97793,0.92500,0.93976,0.000500
14,159.51,0.04386,0.02196,0.01786,0.00405,0.05094,0.02329,0.02160,0.00604,0.97781,0.92692,0.94073,0.000500
15,159.62,0.04131,0.02182,0.01661,0.00287,0.05183,0.02345,0.02189,0.00649,0.97813,0.92830,0.94271,0.000500
16,159.57,0.04372,0.02221,0.01819,0.00332,0.05071,0.02279,0.02170,0.00622,0.97795,0.93149,0.94377,0.000500
17,160.01,0.04472,0.02311,0.01826,0.00335,0.05115,0.02277,0.02218,0.00620,0.97804,0.93172,0.94338,0.000500
18,161.25,0.04635,0.02345,0.01862,0.00428,0.05086,0.02293,0.02178,0.00616,0.97769,0.92947,0.94281,0.000500
19,159.58,0.04462,0.02313,0.01790,0.00359,0.05135,0.02280,0.02196,0.00659,0.97795,0.93137,0.94367,0.000500
20,159.33,0.04279,0.02244,0.01671,0.00363,0.05287,0.02350,0.02241,0.00696,0.97807,0.92658,0.94099,0.000500
21,159.43,0.04732,0.02376,0.01891,0.00465,0.04986,0.02252,0.02128,0.00606,0.97756,0.93033,0.94361,0.000500
22,159.72,0.04572,0.02277,0.01817,0.00478,0.04965,0.02234,0.02115,0.00617,0.97769,0.93308,0.94532,0.000050
23,159.52,0.03959,0.02049,0.01591,0.00319,0.04981,0.02237,0.02137,0.00607,0.97783,0.93169,0.94474,0.000050
24,159.54,0.04378,0.02291,0.01788,0.00299,0.05011,0.02244,0.02151,0.00616,0.97769,0.93219,0.94499,0.000050
25,158.89,0.04442,0.02274,0.01784,0.00384,0.05032,0.02236,0.02163,0.00634,0.97779,0.93278,0.94480,0.000050
26,159.34,0.04566,0.02319,0.01825,0.00421,0.05014,0.02224,0.02149,0.00641,0.97774,0.93203,0.94457,0.000050
27,161.99,0.04487,0.02349,0.01803,0.00335,0.04991,0.02225,0.02137,0.00628,0.97773,0.93193,0.94472,0.000005
28,160.67,0.04894,0.02462,0.01976,0.00456,0.05015,0.02225,0.02149,0.00641,0.97775,0.93206,0.94468,0.000005
29,160.77,0.04407,0.02280,0.01800,0.00328,0.04995,0.02228,0.02147,0.00620,0.97778,0.93160,0.94443,0.000005
30,158.93,0.04899,0.02526,0.01985,0.00387,0.04982,0.02232,0.02113,0.00638,0.97777,0.93238,0.94503,0.000005
