epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.1978,0.97506,5.23491,1.27852,0.90024,0.88004,0.94274,0.75531,0.71398,1.97157,0.94486,0.0702273,0.00330808,0.00330808
2,97.6316,0.75871,2.54972,1.03923,0.90272,0.8442,0.91568,0.72561,0.84872,2.86635,1.06331,0.0401622,0.00657632,0.00657632
3,129.935,0.79478,2.78282,1.07299,0.89282,0.7218,0.83001,0.61821,1.02029,4.54368,1.19925,0.0100317,0.0097792,0.0097792
4,162.294,0.82488,2.80739,1.07448,0.89663,0.80794,0.89529,0.66135,0.9236,2.94222,1.08288,0.00970594,0.00970594,0.00970594
5,194.552,0.8235,2.6811,1.07987,0.86647,0.81132,0.9093,0.70726,0.8238,2.7883,1.06348,0.00960792,0.00960792,0.00960792
6,226.72,0.79225,2.52925,1.05499,0.93837,0.82617,0.9033,0.62094,1.11393,2.59843,1.20071,0.0095099,0.0095099,0.0095099
7,258.96,0.80528,2.51222,1.06534,0.94231,0.89732,0.95339,0.75747,0.72223,1.95172,0.97901,0.00941188,0.00941188,0.00941188
8,291.677,0.76588,2.35607,1.04282,0.94156,0.86343,0.95175,0.76669,0.73689,1.95993,0.9858,0.00931386,0.00931386,0.00931386
9,324.315,0.7438,2.32081,1.04075,0.91461,0.87145,0.93062,0.72831,0.79302,1.96644,1.00702,0.00921584,0.00921584,0.00921584
10,356.854,0.74989,2.27072,1.03648,0.91934,0.88532,0.94507,0.63198,1.25465,2.30208,1.26099,0.00911782,0.00911782,0.00911782
11,389.378,0.72681,2.19425,1.03436,0.93133,0.89669,0.94867,0.72376,0.96584,1.935,1.0728,0.0090198,0.0090198,0.0090198
12,421.855,0.72825,2.15433,1.02526,0.94371,0.87276,0.953,0.77743,0.69768,1.68233,0.95534,0.00892178,0.00892178,0.00892178
13,454.208,0.74101,2.22707,1.03996,0.93035,0.82847,0.90992,0.70814,0.87805,2.26058,1.04422,0.00882376,0.00882376,0.00882376
14,486.393,0.70311,2.10357,1.02341,0.94283,0.88672,0.959,0.79717,0.63885,1.51218,0.92271,0.00872574,0.00872574,0.00872574
15,519.439,0.67973,2.01072,1.00509,0.95273,0.87319,0.93621,0.81865,0.51727,1.50954,0.88819,0.00862772,0.00862772,0.00862772
16,552.019,0.68376,2.02439,1.00911,0.9559,0.89569,0.95655,0.77308,0.70278,1.54988,0.95528,0.0085297,0.0085297,0.0085297
17,584.563,0.6523,1.93941,0.99975,0.94396,0.90151,0.96502,0.82942,0.53603,1.47837,0.89139,0.00843168,0.00843168,0.00843168
18,616.857,0.66949,1.93691,1.00497,0.96083,0.88668,0.95034,0.78334,0.68074,1.61807,0.94315,0.00833366,0.00833366,0.00833366
19,649.116,0.66001,1.90516,0.99769,0.94063,0.88095,0.95313,0.82558,0.54979,1.4928,0.90563,0.00823564,0.00823564,0.00823564
20,681.289,0.66389,1.88574,1.00111,0.96238,0.90659,0.96476,0.83858,0.50432,1.40509,0.88574,0.00813762,0.00813762,0.00813762
21,713.76,0.64583,1.83437,0.99289,0.94152,0.91543,0.9542,0.82426,0.52589,1.39623,0.89632,0.0080396,0.0080396,0.0080396
22,746.173,0.63893,1.81551,0.99204,0.93744,0.88749,0.95261,0.8075,0.54724,1.38215,0.89421,0.00794158,0.00794158,0.00794158
23,778.607,0.63292,1.8204,0.99189,0.96228,0.88208,0.9577,0.81597,0.56545,1.36859,0.9019,0.00784356,0.00784356,0.00784356
24,810.923,0.62508,1.78499,0.98668,0.94545,0.90739,0.96287,0.83635,0.52415,1.34057,0.89287,0.00774554,0.00774554,0.00774554
25,843.421,0.61009,1.72591,0.97086,0.9546,0.89507,0.96108,0.82582,0.55259,1.41382,0.89487,0.00764752,0.00764752,0.00764752
26,875.801,0.60457,1.70392,0.97376,0.94232,0.90575,0.96212,0.84999,0.49885,1.33009,0.87886,0.0075495,0.0075495,0.0075495
27,908.062,0.60373,1.69256,0.97191,0.95855,0.90284,0.95647,0.84568,0.5,1.34981,0.88222,0.00745149,0.00745149,0.00745149
28,940.188,0.61092,1.70386,0.97911,0.95537,0.90617,0.9597,0.84527,0.48601,1.33454,0.87835,0.00735347,0.00735347,0.00735347
29,972.344,0.59049,1.63683,0.96392,0.94188,0.91057,0.96154,0.86679,0.46056,1.25081,0.86768,0.00725545,0.00725545,0.00725545
30,1004.48,0.57749,1.60393,0.96293,0.95131,0.91277,0.96656,0.84306,0.52973,1.30834,0.88811,0.00715743,0.00715743,0.00715743
31,1036.58,0.59672,1.60753,0.97273,0.9461,0.90236,0.95752,0.84354,0.48326,1.34804,0.8749,0.00705941,0.00705941,0.00705941
32,1068.75,0.56435,1.56266,0.9594,0.95296,0.8968,0.95938,0.85077,0.49505,1.29703,0.88006,0.00696139,0.00696139,0.00696139
33,1100.97,0.56433,1.57441,0.95764,0.94699,0.90278,0.9616,0.83333,0.53318,1.33904,0.88512,0.00686337,0.00686337,0.00686337
34,1133.07,0.57064,1.57042,0.95642,0.96779,0.89595,0.96739,0.85432,0.48426,1.30977,0.87703,0.00676535,0.00676535,0.00676535
