               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071783,            0.040937,              0.0655,             0.38703,              0.6067,             0.51259,             0.22231,            0.044561,            0.018026,            0.025031,            0.070227,           0.0033081,           0.0033081
                   1,            0.055257,            0.029091,            0.032519,             0.68637,             0.63951,             0.71685,             0.27318,            0.043152,            0.013709,            0.012492,            0.040162,           0.0065763,           0.0065763
                   2,            0.051012,            0.025095,            0.024961,             0.67489,             0.76295,             0.75563,             0.29016,            0.042675,            0.013736,            0.012419,            0.010032,           0.0097792,           0.0097792
                   3,            0.044563,            0.024464,            0.023668,             0.74182,             0.81069,             0.85963,             0.51332,            0.036254,            0.013386,            0.014508,           0.0097059,           0.0097059,           0.0097059
                   4,            0.038351,            0.021876,             0.02036,             0.93268,             0.84601,             0.93183,             0.52441,            0.032109,            0.015958,            0.011225,           0.0097059,           0.0097059,           0.0097059
                   5,            0.036143,            0.022125,            0.020055,             0.92075,             0.88926,             0.94963,             0.62864,            0.026042,            0.012526,           0.0092414,           0.0096079,           0.0096079,           0.0096079
                   6,            0.033959,            0.021811,            0.018447,             0.93844,             0.86523,              0.9233,              0.4728,            0.030607,            0.013702,           0.0093854,           0.0095099,           0.0095099,           0.0095099
                   7,            0.031527,            0.020131,            0.017992,             0.93546,              0.9009,             0.94726,              0.6267,            0.027218,            0.012363,            0.010191,           0.0094119,           0.0094119,           0.0094119
                   8,            0.031851,            0.020678,            0.018545,              0.9367,             0.91262,             0.96701,             0.63892,             0.02247,            0.011823,           0.0076142,           0.0093139,           0.0093139,           0.0093139
                   9,            0.030976,            0.020482,            0.017127,             0.93296,             0.90167,             0.95583,              0.6988,            0.019296,            0.011191,           0.0081991,           0.0092158,           0.0092158,           0.0092158
                  10,            0.030705,              0.0201,            0.016716,             0.95767,             0.90665,              0.9597,              0.7754,            0.018655,             0.01076,           0.0089654,           0.0091178,           0.0091178,           0.0091178
                  11,            0.029831,            0.019645,            0.016636,             0.94567,             0.91109,             0.96324,             0.72912,            0.018885,            0.011489,           0.0084372,           0.0090198,           0.0090198,           0.0090198
                  12,            0.028732,            0.019474,            0.015984,             0.94786,             0.89112,              0.9418,             0.73147,            0.021502,            0.011283,            0.012023,           0.0089218,           0.0089218,           0.0089218
                  13,            0.028427,            0.019373,            0.015777,             0.95776,             0.90112,             0.95986,             0.68674,            0.020635,            0.010841,           0.0077675,           0.0088238,           0.0088238,           0.0088238
                  14,            0.028112,            0.019118,            0.016048,             0.95218,             0.90172,             0.95906,             0.74025,            0.018584,            0.010279,           0.0068915,           0.0087257,           0.0087257,           0.0087257
                  15,            0.027642,            0.019102,             0.01414,             0.95366,             0.87008,             0.94674,             0.68827,            0.021049,            0.010821,            0.012399,           0.0086277,           0.0086277,           0.0086277
                  16,            0.026648,            0.018209,            0.014354,             0.95381,             0.89359,             0.96516,             0.72277,            0.019024,            0.010607,           0.0073842,           0.0085297,           0.0085297,           0.0085297
                  17,            0.026904,            0.019404,            0.015527,             0.94911,             0.90493,             0.95686,             0.70535,            0.020324,             0.01086,            0.010435,           0.0084317,           0.0084317,           0.0084317
                  18,            0.026445,            0.017844,            0.013823,             0.95029,             0.92685,             0.96713,             0.73962,            0.018292,            0.010232,           0.0065178,           0.0083337,           0.0083337,           0.0083337
                  19,            0.026187,            0.017772,            0.012374,             0.94128,             0.92818,             0.96922,             0.73279,            0.019543,            0.010409,           0.0061083,           0.0082356,           0.0082356,           0.0082356
                  20,            0.024729,            0.017207,            0.012461,             0.95368,             0.89468,             0.95818,              0.7589,            0.016638,            0.010137,           0.0072593,           0.0081376,           0.0081376,           0.0081376
                  21,            0.024244,            0.016839,            0.012091,              0.9471,              0.9201,             0.95248,             0.71119,            0.023038,            0.010891,            0.013135,           0.0080396,           0.0080396,           0.0080396
                  22,            0.025174,             0.01772,            0.013109,             0.95931,             0.93531,             0.96609,             0.68717,            0.021111,            0.011241,           0.0048885,           0.0079416,           0.0079416,           0.0079416
                  23,            0.024593,            0.017037,            0.011876,             0.94841,             0.92384,             0.96321,             0.70033,            0.020031,            0.010582,           0.0090545,           0.0078436,           0.0078436,           0.0078436
                  24,            0.024811,            0.017939,            0.011821,             0.96002,             0.92335,             0.96914,             0.73105,            0.018975,            0.010545,            0.007126,           0.0077455,           0.0077455,           0.0077455
                  25,            0.024122,            0.017185,            0.011513,             0.96117,              0.9231,             0.96919,              0.7395,            0.018381,            0.010472,           0.0083575,           0.0076475,           0.0076475,           0.0076475
